transport,name,line,weight,is_hub,base_occupancy
rtp,OYAMELES,166,1.0,False,0.2
rtp,VENUSTIANO CARRANZA,166,1.0,False,0.2
rtp,REPUBLICA FEDERAL NORTE,166,1.0,False,0.2
rtp,METRO PEREZ ROMERO,166,1.0,False,0.2
rtp,CIRILO ARENAS,166,1.0,False,0.2
rtp,EMILIO N. ACOSTA,166,1.0,False,0.2
rtp,JUSTINA,166,1.0,False,0.2
rtp,JOSE MARIA PATONI,166,1.0,False,0.2
rtp,JUAN C. BONILLA,166,1.0,False,0.2
rtp,FRANCISCO CEIBA,166,1.0,False,0.2
rtp,INGENIERO PASTOR ROUAIX,166,1.0,False,0.2
rtp,FRANCISCO GARCIA SALINAS,166,1.0,False,0.2
rtp,TRINIDAD SALGADO,166,1.0,False,0.2
rtp,EULOGIO PARRA,166,1.0,False,0.2
rtp,JUAN DE LOS REYES,166,1.0,False,0.2
rtp,CALLE 7,166,1.0,False,0.2
rtp,CALLE 6,166,1.0,False,0.2
rtp,CALLE A,166,1.0,False,0.2
rtp,CONALEP IZTACALCO,166,1.0,False,0.2
rtp,AVENIDA CENTRAL,166,1.0,False,0.2
rtp,AGUA CALIENTE,166,1.0,False,0.2
rtp,SIMON AUDENARO,166,1.0,False,0.2
rtp,CETRAM SANTA MARTHA ANDEN A,1-D,1.0,False,0.2
rtp,CARRETERA FEDERAL PUEBLA - MEXICO,1-D,1.0,False,0.2
rtp,ZACATEPEC,1-D,1.0,False,0.2
rtp,OCTAVIO SENTIES II,1-D,1.0,False,0.2
rtp,LAS PALMAS (LA QUEBRADORA),1-D,1.0,False,0.2
rtp,AVENIDA SANTA CRUZ MEYEHUALCO *,1-D,1.0,False,0.2
rtp,AV. LUIS MANUEL ROJAS,1-D,1.0,False,0.2
rtp,AV. LUIS COVARRUBIAS IBARRA,1-D,1.0,False,0.2
rtp,AV. JAVIER ROJO GOM?Z,1-D,1.0,False,0.2
rtp,AV. E. CORONA,1-D,1.0,False,0.2
rtp,GRAL ANAYA,1-D,1.0,False,0.2
rtp,TOLTECAS,1-D,1.0,False,0.2
rtp,GRAL RADAMES GAXIOLA ANDRADE,1-D,1.0,False,0.2
rtp,LA VIGA,1-D,1.0,False,0.2
rtp,SUR 73,1-D,1.0,False,0.2
rtp,MUNICIPIO LIBRE,1-D,1.0,False,0.2
rtp,SUR 69,1-D,1.0,False,0.2
rtp,PLUTARCO ELIAS CALLES,1-D,1.0,False,0.2
rtp,MIRAVALLE,1-D,1.0,False,0.2
rtp,BELGICA,1-D,1.0,False,0.2
rtp,RUMANIA,1-D,1.0,False,0.2
rtp,EJE CENTRAL LAZARO CARDENAS,1-D,1.0,False,0.2
rtp,TOKIO,1-D,1.0,False,0.2
rtp,DR. JOSE MARIA VERTIZ,1-D,1.0,False,0.2
rtp,DIVISION DEL NORTE,1-D,1.0,False,0.2
rtp,UXMAL,1-D,1.0,False,0.2
rtp,AV UNIVERCIDAD,1-D,1.0,False,0.2
rtp,GABRIEL MANCERA,1-D,1.0,False,0.2
rtp,ANICETO ORTEGA,1-D,1.0,False,0.2
rtp,AMORES,1-D,1.0,False,0.2
rtp,AV. COYOACAN,1-D,1.0,False,0.2
rtp,ADOLFO PRIETO,1-D,1.0,False,0.2
rtp,MORAS,1-D,1.0,False,0.2
rtp,SAN FRANCISCO,1-D,1.0,False,0.2
rtp,JEREZ,1-D,1.0,False,0.2
rtp,AGUSTIN RODÍN,1-D,1.0,False,0.2
rtp,POUSSIN,1-D,1.0,False,0.2
rtp,CC. MIXCOAC,1-D,1.0,False,0.2
rtp,CC.MIXCOAC,1-D,1.0,False,0.2
